config,trial,repeats,stats,kernel_output,simSeconds,simTicks,hostSeconds,simInsts,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.overallAccesses::total,system.cpu.dcache.overallMisses::total,system.cpu.dcache.overallMissRate::total,system.cpu.icache.overallAccesses::total,system.cpu.icache.overallMisses::total,system.cpu.icache.overallMissRate::total,system.l2.overallAccesses::total,system.l2.overallMisses::total,system.l2.overallMissRate::total
l1_l2,1,2,m5out/fhe_rns_microkernel_sweep_stats/l1_l2_r2_trial1/stats.txt,data/fhe_rns_microkernel_sweep_stats/kernel_output_l1_l2_trial1.json,0.795267,795266791000.0,660.31,793460251.0,1590533652.0,2.004554,0.498864,470557776.0,1395954.0,0.002967,1080497826.0,162.0,0.0,1396116.0,1051358.0,0.753059
l1_l2,2,2,m5out/fhe_rns_microkernel_sweep_stats/l1_l2_r2_trial2/stats.txt,data/fhe_rns_microkernel_sweep_stats/kernel_output_l1_l2_trial2.json,0.795267,795266791000.0,651.45,793460251.0,1590533652.0,2.004554,0.498864,470557776.0,1395954.0,0.002967,1080497826.0,162.0,0.0,1396116.0,1051358.0,0.753059
l1_l2,3,2,m5out/fhe_rns_microkernel_sweep_stats/l1_l2_r2_trial3/stats.txt,data/fhe_rns_microkernel_sweep_stats/kernel_output_l1_l2_trial3.json,0.795267,795266791000.0,652.8,793460251.0,1590533652.0,2.004554,0.498864,470557776.0,1395954.0,0.002967,1080497826.0,162.0,0.0,1396116.0,1051358.0,0.753059
