config,trial,repeats,stats,kernel_output,simSeconds,simTicks,hostSeconds,simInsts,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.overallAccesses::total,system.cpu.dcache.overallMisses::total,system.cpu.dcache.overallMissRate::total,system.cpu.icache.overallAccesses::total,system.cpu.icache.overallMisses::total,system.cpu.icache.overallMissRate::total,system.l2.overallAccesses::total,system.l2.overallMisses::total,system.l2.overallMissRate::total
l1_l2,1,1,m5out/fhe_rns_microkernel_line_sweep/line128/l1_l2_r1_trial1/stats.txt,data/fhe_rns_microkernel_line_sweep/line128/kernel_output_l1_l2_trial1.json,0.400258,400258260500.0,326.63,399026829.0,800516591.0,2.006172,0.498462,237574143.0,383529.0,0.001614,543530160.0,118.0,0.0,383647.0,283424.0,0.738762
l1_l2,2,1,m5out/fhe_rns_microkernel_line_sweep/line128/l1_l2_r1_trial2/stats.txt,data/fhe_rns_microkernel_line_sweep/line128/kernel_output_l1_l2_trial2.json,0.400258,400258260500.0,324.34,399026829.0,800516591.0,2.006172,0.498462,237574143.0,383529.0,0.001614,543530160.0,118.0,0.0,383647.0,283424.0,0.738762
l1_l2,3,1,m5out/fhe_rns_microkernel_line_sweep/line128/l1_l2_r1_trial3/stats.txt,data/fhe_rns_microkernel_line_sweep/line128/kernel_output_l1_l2_trial3.json,0.400258,400258260500.0,334.54,399026829.0,800516591.0,2.006172,0.498462,237574143.0,383529.0,0.001614,543530160.0,118.0,0.0,383647.0,283424.0,0.738762
