config,trial,repeats,stats,kernel_output,simSeconds,simTicks,hostSeconds,simInsts,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.dcache.overallAccesses::total,system.cpu.dcache.overallMisses::total,system.cpu.dcache.overallMissRate::total,system.cpu.icache.overallAccesses::total,system.cpu.icache.overallMisses::total,system.cpu.icache.overallMissRate::total,system.l2.overallAccesses::total,system.l2.overallMisses::total,system.l2.overallMissRate::total
l1_l2,1,1,m5out/fhe_rns_microkernel_line_sweep/line64/l1_l2_r1_trial1/stats.txt,data/fhe_rns_microkernel_line_sweep/line64/kernel_output_l1_l2_trial1.json,0.400258,400258260500.0,331.71,399026829.0,800516591.0,2.006172,0.498462,237574143.0,738050.0,0.003107,543530160.0,162.0,0.0,738212.0,566732.0,0.767709
l1_l2,2,1,m5out/fhe_rns_microkernel_line_sweep/line64/l1_l2_r1_trial2/stats.txt,data/fhe_rns_microkernel_line_sweep/line64/kernel_output_l1_l2_trial2.json,0.400258,400258260500.0,332.38,399026829.0,800516591.0,2.006172,0.498462,237574143.0,738050.0,0.003107,543530160.0,162.0,0.0,738212.0,566732.0,0.767709
l1_l2,3,1,m5out/fhe_rns_microkernel_line_sweep/line64/l1_l2_r1_trial3/stats.txt,data/fhe_rns_microkernel_line_sweep/line64/kernel_output_l1_l2_trial3.json,0.400258,400258260500.0,322.09,399026829.0,800516591.0,2.006172,0.498462,237574143.0,738050.0,0.003107,543530160.0,162.0,0.0,738212.0,566732.0,0.767709
